experiment_name,task_family,dataset,molecule,encoder,prior,prior_weight,laplacian_mode,horizon,n,mean,std,stderr,median,min,max,ci95_low,ci95_high,pct_change_vs_none,pct_change_vs_euclidean,pct_change_vs_per_frame,h16_over_h1_mean,notes
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,euclidean,1.0,per_frame,8,3,0.2609243979,0.06231537454,0.03597779826,0.247897836,0.2061519755,0.328723382,0.2061519755,0.328723382,-1.344711389,0,248.8243075,1.528119603,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.001,per_frame,1,3,0.1324307558,0.07074791182,0.04084632594,0.1128925643,0.07350515499,0.2108945481,0.07350515499,0.2108945481,0,66.92688658,280.3063168,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.001,per_frame,16,3,0.4171957141,0.2430955445,0.140351278,0.4364646907,0.1650391161,0.6500833353,0.1650391161,0.6500833353,0,130.5016875,189.0812668,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.001,per_frame,2,3,0.1424004739,0.06754813142,0.03899893186,0.1399648628,0.07610308932,0.2111334697,0.07610308932,0.2111334697,0,78.48838655,293.0375725,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.001,per_frame,4,3,0.184256556,0.08358252599,0.04825639388,0.1939212514,0.09626181349,0.2625866029,0.09626181349,0.2625866029,0,90.95319081,273.9334199,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.001,per_frame,8,3,0.2644809027,0.1322914017,0.07637847639,0.2970180739,0.1189567008,0.3774679333,0.1189567008,0.3774679333,0,123.7195194,253.5789235,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.01,per_frame,1,3,0.1324307558,0.07074791182,0.04084632594,0.1128925643,0.07350515499,0.2108945481,0.07350515499,0.2108945481,0,26.61688151,280.3063168,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.01,per_frame,16,3,0.4171957141,0.2430955445,0.140351278,0.4364646907,0.1650391161,0.6500833353,0.1650391161,0.6500833353,0,141.8007999,189.0812668,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.01,per_frame,2,3,0.1424004739,0.06754813142,0.03899893186,0.1399648628,0.07610308932,0.2111334697,0.07610308932,0.2111334697,0,38.73100656,293.0375725,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.01,per_frame,4,3,0.184256556,0.08358252599,0.04825639388,0.1939212514,0.09626181349,0.2625866029,0.09626181349,0.2625866029,0,59.22182978,273.9334199,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.01,per_frame,8,3,0.2644809027,0.1322914017,0.07637847639,0.2970180739,0.1189567008,0.3774679333,0.1189567008,0.3774679333,0,105.0590666,253.5789235,3.150293235,partial current weight sweep if n < 3
rmd17_weight_sweep,rmd17,rmd17,aspirin,flat,none,0.1,per_frame,1,3,0.1324307558,0.07074791182,0.04084632594,0.1128925643,0.07350515499,0.2108945481,0.07350515499,0.2108945481,0,-16.81786528,280.3063168,3.150293235,partial current weight sweep if n < 3
