source,domain,item,molecule,topology,prior_weight,horizon,control,graph_mean,control_mean,delta_control_minus_graph,std_delta,pct_graph_lower_than_control,graph_wins,n_pairs,bootstrap_ci_low,bootstrap_ci_high,classification,scale_matched_control,notes
cycle4_ho_lambda_robustness,HO,lattice,,lattice,0.010000,32,permuted_graph,0.018150,0.009311,-0.008839,0.008148,-94.9396,0,3,-0.018123,-0.002874,control_better_or_equivalent,yes,permuted control is Laplacian-spectrum matched to true graph
cycle4_ho_lambda_robustness,HO,lattice,,lattice,0.010000,32,random_graph,0.018150,0.009801,-0.008350,0.005933,-85.1957,0,3,-0.015051,-0.003770,control_better_or_equivalent,no,random control matches broad graph size/edge count but not full spectrum
cycle4_ho_lambda_robustness,HO,lattice,,lattice,0.050000,32,permuted_graph,0.016561,0.016610,0.000049,0.004641,0.293018,2,3,-0.004984,0.004160,suggestive_or_unstable,yes,permuted control is Laplacian-spectrum matched to true graph
cycle4_ho_lambda_robustness,HO,lattice,,lattice,0.050000,32,random_graph,0.016561,0.017306,0.000745,0.005853,4.3072,2,3,-0.005203,0.006498,suggestive_or_unstable,no,random control matches broad graph size/edge count but not full spectrum
cycle4_ho_lambda_robustness,HO,scalefree,,scalefree,0.001000,32,permuted_graph,0.023032,0.035353,0.012321,0.013590,34.8509,2,3,-0.001125,0.026051,suggestive_or_unstable,yes,permuted control is Laplacian-spectrum matched to true graph
cycle4_ho_lambda_robustness,HO,scalefree,,scalefree,0.001000,32,random_graph,0.023032,0.039290,0.016257,0.014150,41.3779,3,3,0.000463,0.027777,specificity_supported,no,random control matches broad graph size/edge count but not full spectrum
cycle4_ho_lambda_robustness,HO,scalefree,,scalefree,0.005000,32,permuted_graph,0.033702,0.015659,-0.018044,0.014048,-115.230,0,3,-0.026778,-0.001839,control_better_or_equivalent,yes,permuted control is Laplacian-spectrum matched to true graph
cycle4_ho_lambda_robustness,HO,scalefree,,scalefree,0.005000,32,random_graph,0.033702,0.014750,-0.018952,0.014337,-128.493,0,3,-0.029669,-0.002667,control_better_or_equivalent,no,random control matches broad graph size/edge count but not full spectrum
cycle4_ho_lambda_robustness,HO,scalefree,,scalefree,0.010000,32,permuted_graph,0.012966,0.013968,0.001003,0.001613,7.1791,3,3,0.000029,0.002865,specificity_supported,yes,permuted control is Laplacian-spectrum matched to true graph
cycle4_ho_lambda_robustness,HO,scalefree,,scalefree,0.010000,32,random_graph,0.012966,0.023457,0.010492,0.009972,44.7272,3,3,0.002862,0.021775,specificity_supported,no,random control matches broad graph size/edge count but not full spectrum
