experiment_name,source_file,task_family,dataset,molecule,prior,encoder,seed,epochs,prior_weight,laplacian_mode,horizon,metric_name,metric_value,status,completed,notes
rmd17_aspirin_laplacian_ablation.20260424_005456,backups/rmd17_aspirin_laplacian_ablation.20260424_005456.json,unknown,,aspirin,spectral,flat,4,50,0.1,per_frame,2,rollout_error,0.04122403075452894,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_laplacian_ablation.20260424_005456,backups/rmd17_aspirin_laplacian_ablation.20260424_005456.json,unknown,,aspirin,spectral,flat,4,50,0.1,per_frame,4,rollout_error,0.045163422077894214,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_laplacian_ablation.20260424_005456,backups/rmd17_aspirin_laplacian_ablation.20260424_005456.json,unknown,,aspirin,spectral,flat,4,50,0.1,per_frame,8,rollout_error,0.05889977568760514,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_laplacian_ablation.20260424_005456,backups/rmd17_aspirin_laplacian_ablation.20260424_005456.json,unknown,,aspirin,spectral,flat,4,50,0.1,per_frame,16,rollout_error,0.09930598758161067,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_laplacian_ablation.20260424_005456,backups/rmd17_aspirin_laplacian_ablation.20260424_005456.json,unknown,,aspirin,spectral,flat,4,50,0.1,per_frame,,final_loss,0.0055591849284985706,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_laplacian_ablation.20260424_005456,backups/rmd17_aspirin_laplacian_ablation.20260424_005456.json,unknown,,aspirin,spectral,flat,0,50,0.1,fixed_frame0,1,rollout_error,0.055067205943632874,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_laplacian_ablation.20260424_005456,backups/rmd17_aspirin_laplacian_ablation.20260424_005456.json,unknown,,aspirin,spectral,flat,0,50,0.1,fixed_frame0,2,rollout_error,0.052561016394756736,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_laplacian_ablation.20260424_005456,backups/rmd17_aspirin_laplacian_ablation.20260424_005456.json,unknown,,aspirin,spectral,flat,0,50,0.1,fixed_frame0,4,rollout_error,0.06195205767638981,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_laplacian_ablation.20260424_005456,backups/rmd17_aspirin_laplacian_ablation.20260424_005456.json,unknown,,aspirin,spectral,flat,0,50,0.1,fixed_frame0,8,rollout_error,0.06924309769645333,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_laplacian_ablation.20260424_005456,backups/rmd17_aspirin_laplacian_ablation.20260424_005456.json,unknown,,aspirin,spectral,flat,0,50,0.1,fixed_frame0,16,rollout_error,0.1025496370345354,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_laplacian_ablation.20260424_005456,backups/rmd17_aspirin_laplacian_ablation.20260424_005456.json,unknown,,aspirin,spectral,flat,0,50,0.1,fixed_frame0,,final_loss,0.006198640491458632,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,none,flat,0,50,0.001,per_frame,1,rollout_error,0.07350515498779714,duplicate_snapshot,true,source_state=unknown; key_weight=0.001 config_weight=0.0
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,none,flat,0,50,0.001,per_frame,2,rollout_error,0.0761030893214047,duplicate_snapshot,true,source_state=unknown; key_weight=0.001 config_weight=0.0
