distance_k,budget,epochs,complete,summary_exists,warning_flag,warning_reasons,failed_stage1_count,expected_seed_count,mean_strict_label,label_confidence,strongest_comparator,seed_label_counts,summary_path,none_h32_mean,none_h32_std,none_h32_ci95_half_width,none_h32_ci95_low,none_h32_ci95_high,none_h32_min,none_h32_max,none_h32_n,graph_h32_mean,graph_h32_std,graph_h32_ci95_half_width,graph_h32_ci95_low,graph_h32_ci95_high,graph_h32_min,graph_h32_max,graph_h32_n,permuted_graph_h32_mean,permuted_graph_h32_std,permuted_graph_h32_ci95_half_width,permuted_graph_h32_ci95_low,permuted_graph_h32_ci95_high,permuted_graph_h32_min,permuted_graph_h32_max,permuted_graph_h32_n,temporal_smooth_h32_mean,temporal_smooth_h32_std,temporal_smooth_h32_ci95_half_width,temporal_smooth_h32_ci95_low,temporal_smooth_h32_ci95_high,temporal_smooth_h32_min,temporal_smooth_h32_max,temporal_smooth_h32_n,graph_gain_h32_pct_mean,graph_gain_h32_pct_std,graph_gain_h32_pct_ci95_half_width,graph_gain_h32_pct_ci95_low,graph_gain_h32_pct_ci95_high,graph_gain_h32_pct_min,graph_gain_h32_pct_max,graph_gain_h32_pct_n,true_vs_permuted_gain_h32_pct_mean,true_vs_permuted_gain_h32_pct_std,true_vs_permuted_gain_h32_pct_ci95_half_width,true_vs_permuted_gain_h32_pct_ci95_low,true_vs_permuted_gain_h32_pct_ci95_high,true_vs_permuted_gain_h32_pct_min,true_vs_permuted_gain_h32_pct_max,true_vs_permuted_gain_h32_pct_n,graph_vs_temporal_gain_h32_pct_mean,graph_vs_temporal_gain_h32_pct_std,graph_vs_temporal_gain_h32_pct_ci95_half_width,graph_vs_temporal_gain_h32_pct_ci95_low,graph_vs_temporal_gain_h32_pct_ci95_high,graph_vs_temporal_gain_h32_pct_min,graph_vs_temporal_gain_h32_pct_max,graph_vs_temporal_gain_h32_pct_n
4,quick_ep5,5,True,True,ok,,0,5,quick_topology_signal,marginal,permuted_graph,"quick_topology_signal 3/5, no_graph_gain 1/5, generic_smoothing 1/5",/home/user/projects/causalworld/analysis_out/preflight_runs/nbody_robustness_5seed/distance_k_04/quick_ep5/summary.csv,1.155312817543745,0.7845345475272992,0.9739721358430783,0.18134068170066675,2.1292849533868234,0.5755645874887705,2.441745150834322,5,1.0176389168947935,0.7198615428577303,0.893682867909702,0.1239560489850915,1.9113217848044954,0.3833519509062171,1.8052022866904736,5,1.0604020779952408,0.8054861075081168,0.9999827630207822,0.06041931497445863,2.060384841016023,0.3980636401101947,2.110167570412159,5,1.0624176954850555,0.7224400440536354,0.896883986745023,0.16553370874003248,1.9593016822300786,0.39544104132801294,1.8607360646128654,5,-12.231300996428022,112.36747894793608,139.50028563454077,-151.7315866309688,127.26898463811276,-211.44685217024374,63.095642245641905,5,0.4373100914888486,10.923111597959359,13.56066009667545,-13.123350005186602,13.997970188164299,-15.062091128239857,14.802449755500367,5,3.9431980475911836,20.161963337570494,25.03037062749625,-21.087172579905065,28.973568675087435,-25.587493744282654,30.649732252392873,5
4,standard_ep20,20,True,True,ok,,0,5,candidate_graph_favorable,marginal,temporal_smooth,"candidate_graph_favorable 3/5, generic_smoothing 1/5, temporal_sufficient 1/5",/home/user/projects/causalworld/analysis_out/preflight_runs/nbody_robustness_5seed/distance_k_04/standard_ep20/summary.csv,0.15066169607453048,0.012898022587502098,0.016012442852001436,0.13464925322252905,0.1666741389265319,0.1293772889766842,0.16251926124095917,5,0.06414991470519453,0.03221592731459886,0.039994944306354314,0.024154970398840216,0.10414485901154885,0.022574624745175242,0.10776092088781297,5,0.07175884114112704,0.024457041291498425,0.030362559326623156,0.04139628181450389,0.1021214004677502,0.04922944831196219,0.11075455881655216,5,0.06613363472279161,0.014666931695438807,0.018208481493511283,0.04792515322928033,0.0843421162163029,0.05009869474451989,0.0846520762424916,5,56.660416698689396,22.773707545958107,28.272759497351036,28.38765720133836,84.93317619604044,27.434441854555384,85.56420531841951,5,14.436835490084169,23.42840525967847,29.085543755958348,-14.648708265874179,43.52237924604252,-5.027813667184248,54.144063118233504,5,5.650875849902987,39.86518671123956,49.49123167272378,-43.84035582282079,55.142107522626766,-54.48796198752622,56.909282152151015,5
8,quick_ep5,5,True,True,ok,,0,5,quick_topology_signal,marginal,permuted_graph,"quick_topology_signal 2/5, no_graph_gain 1/5, temporal_sufficient 1/5, generic_smoothing 1/5",/home/user/projects/causalworld/analysis_out/preflight_runs/nbody_robustness_5seed/distance_k_08/quick_ep5/summary.csv,1.1606601463630795,0.7997556521643074,0.9928686036148585,0.16779154274822095,2.153528749977938,0.5723181487992406,2.4859644770622253,5,0.9689184652641416,0.6969910688324521,0.8652899762208006,0.10362848904334099,1.8342084414849422,0.3875426575541496,1.8389162085950375,5,1.0288634989410639,0.7698344381407015,0.9557224654091662,0.07314103353189771,1.98458596435023,0.3728061867877841,2.0410512536764145,5,1.058925711363554,0.7744251733260105,0.9614217021956377,0.09750400916791624,2.0203474135591915,0.42277215607464314,2.0028506368398666,5,-2.2729193555303064,94.14104329268383,116.87280476718641,-119.14572412271671,114.5998854116561,-168.49641779896245,64.94287059958928,5,3.799876659263406,5.216702581187919,6.4763533627318015,-2.6764767034683956,10.276230021995207,-3.9528503787288556,9.903477177130371,5,6.938399733635121,8.946313053207541,11.106534007732986,-4.168134274097865,18.044933741368105,-8.004706569551292,16.06276833996247,5
8,standard_ep20,20,True,True,ok,,0,5,generic_smoothing,marginal,temporal_smooth,"generic_smoothing 4/5, candidate_graph_favorable 1/5",/home/user/projects/causalworld/analysis_out/preflight_runs/nbody_robustness_5seed/distance_k_08/standard_ep20/summary.csv,0.15221103983931245,0.01149778500431951,0.014274096983258624,0.13793694285605382,0.16648513682257107,0.1325116704683751,0.1627062123734504,5,0.08144534691236913,0.03318391025879681,0.041196661195166455,0.04024868571720267,0.12264200810753559,0.047348169377073646,0.12019051914103329,5,0.07592571112327277,0.027624178502524674,0.03429444913779045,0.041631261985482323,0.11022016026106322,0.05444581469055265,0.11065279226750135,5,0.06945302500389516,0.02397621458311805,0.029765629825420616,0.03968739517847455,0.09921865482931577,0.044680734747089446,0.10376766766421497,5,46.87454970052773,20.483755675541865,25.429864533404846,21.444685167122884,72.30441423393258,21.98452135224524,64.2686797247993,5,-6.3246552385703385,14.481299148028075,17.978025193972314,-24.30268043254265,11.653369955401976,-24.484535817405195,14.743654430312848,5,-21.12954086393435,46.13009674138429,57.268897834343605,-78.39843869827796,36.13935697040925,-94.40431437138346,19.394856657983055,5
12,quick_ep5,5,True,True,ok,,0,5,quick_topology_signal,marginal,permuted_graph,"quick_topology_signal 2/5, generic_smoothing 2/5, no_graph_gain 1/5",/home/user/projects/causalworld/analysis_out/preflight_runs/nbody_robustness_5seed/distance_k_12/quick_ep5/summary.csv,1.1671384377405047,0.7792499689457274,0.9674115168055272,0.19972692093497757,2.134549954546032,0.5858554011210799,2.439590286463499,5,0.9364879278466105,0.6715139352463394,0.8336610080737196,0.10282691977289093,1.77014893592033,0.3785987216979265,1.840719547122717,5,0.9489136721938849,0.7034529688209736,0.8733121985094956,0.0756014736843893,1.8222258707033805,0.35579128563404083,1.9836845360696316,5,1.014383635111153,0.7576404792407423,0.9405840929415564,0.07379954216959661,1.9549677280527096,0.3885551495477557,2.0334614478051662,5,4.346433731483633,81.93109283900117,101.71457934627509,-97.36814561479146,106.06101307775872,-139.4031783676065,66.97777585453986,5,0.1292323140287195,7.155163298203085,8.88288438262098,-8.75365206859226,9.012116696649699,-7.334060043283876,7.607049324293531,5,5.5335457438276645,4.849956252909438,6.021050653894025,-0.48750491006636043,11.554596397721689,-1.5737827017170987,9.478512655869967,5
12,standard_ep20,20,True,True,ok,,0,5,temporal_sufficient,marginal,temporal_smooth,"candidate_graph_favorable 2/5, generic_smoothing 2/5, temporal_sufficient 1/5",/home/user/projects/causalworld/analysis_out/preflight_runs/nbody_robustness_5seed/distance_k_12/standard_ep20/summary.csv,0.14429309694096445,0.012107432632213975,0.015030953139719184,0.12926214380124526,0.15932405008068365,0.1270095396321267,0.1564377057366073,5,0.07719918782822788,0.03112723229753225,0.038643367611107274,0.038555820217120604,0.11584255543933515,0.045302843907848,0.11175131774507463,5,0.08975542010739446,0.041725897826231866,0.051801239287516496,0.03795418081987796,0.14155665939491097,0.058439936372451484,0.15557846706360579,5,0.059613918035756795,0.02647309137801097,0.03286541482854599,0.026748503207210804,0.0924793328643028,0.026686722587328404,0.10028946911916137,5,46.91327355084731,19.929312852294682,24.741543206494594,22.171730344352714,71.6548167573419,22.221815503652714,64.33114863728805,5,11.871243287175735,15.47723682299778,19.214446900975698,-7.343203613799963,31.085690188151432,-4.9665750761062375,29.55910193399676,5,-44.04120057863077,67.3032345173906,83.55460607650238,-127.59580665513315,39.51340549787161,-126.27553364195121,18.80634808711436,5
