source,domain,item,prior_weight,horizon,control,graph_mean,control_mean,S_graph,graph_prior_loss_mean,D_dX_norm_true,D_dX_norm_control,gap_D_dX_norm_control_minus_true,D_X_norm_true,D_X_norm_control,gap_D_X_norm_control_minus_true,gap_R_low_dX_2_true_minus_control,gap_R_low_dX_4_true_minus_control,gap_R_low_dX_8_true_minus_control,gap_R_low_X_2_true_minus_control,gap_R_low_X_4_true_minus_control,gap_R_low_X_8_true_minus_control,gap_trace_control_minus_true,gap_frobenius_control_minus_true,gap_lambda_max_control_minus_true,gap_spectral_gap_control_minus_true
cycle2_rmd17_multimolecule,rMD17,aspirin,0.1,16,permuted_graph,0.010012369395958053,0.010820878895982685,0.0008085095000246317,0.100397059864675,3.563580268584704,5.762670415624901,2.199090147040197,2.522109576384603,5.77567947716907,3.2535699007844667,0.16289528994637048,0.38484084307023814,,0.5634604664256071,0.7693609128496792,,-0.008331624276877392,-0.0017274479454876257,-0.0003017298739056429,-0.00046049270042325396
cycle2_rmd17_multimolecule,rMD17,aspirin,0.1,32,permuted_graph,0.030591945927072733,0.03169038008329355,0.0010984341562208164,0.100397059864675,3.563580268584704,5.762670415624901,2.199090147040197,2.522109576384603,5.77567947716907,3.2535699007844667,0.16289528994637048,0.38484084307023814,,0.5634604664256071,0.7693609128496792,,-0.008331624276877392,-0.0017274479454876257,-0.0003017298739056429,-0.00046049270042325396
cycle2_rmd17_multimolecule,rMD17,aspirin,0.1,16,random_graph,0.010012369395958053,0.010968077371621296,0.000955707975663243,0.100397059864675,3.563580268584704,5.819618083462614,2.25603781487791,2.522109576384603,5.804585633113925,3.282476056729322,0.158950658311601,0.3873836485986146,,0.5640888640176408,0.7748334737982457,,-0.00833162427684897,-0.532692137612468,-0.8585788749939267,1.7116976145960692
cycle2_rmd17_multimolecule,rMD17,aspirin,0.1,32,random_graph,0.030591945927072733,0.03052381576142377,-6.813016564896288e-05,0.100397059864675,3.563580268584704,5.819618083462614,2.25603781487791,2.522109576384603,5.804585633113925,3.282476056729322,0.158950658311601,0.3873836485986146,,0.5640888640176408,0.7748334737982457,,-0.00833162427684897,-0.532692137612468,-0.8585788749939267,1.7116976145960692
cycle2_rmd17_multimolecule,rMD17,ethanol,0.1,16,permuted_graph,0.015000775637519026,0.013442618093298128,-0.0015581575442208985,0.013931152420290917,3.8482248066263915,4.643241422570964,0.7950166159445722,3.6844083873290683,4.643079129544984,0.9586707422159155,0.23386247594797568,,,0.44777127854690824,,,-0.0033424580745347043,-0.0011345473201664902,-0.00017183370649664909,-0.0007064152879769914
cycle2_rmd17_multimolecule,rMD17,ethanol,0.1,32,permuted_graph,0.04491406997355322,0.038790487580829196,-0.006123582392724022,0.013931152420290917,3.8482248066263915,4.643241422570964,0.7950166159445722,3.6844083873290683,4.643079129544984,0.9586707422159155,0.23386247594797568,,,0.44777127854690824,,,-0.0033424580745347043,-0.0011345473201664902,-0.00017183370649664909,-0.0007064152879769914
cycle2_rmd17_multimolecule,rMD17,ethanol,0.1,16,random_graph,0.015000775637519026,0.014066086086030634,-0.0009346895514883921,0.013931152420290917,3.8482248066263915,4.656427722507486,0.8082029158810942,3.6844083873290683,4.655127154591243,0.9707187672621749,0.24944940350624867,,,0.4660801299281516,,,-0.0033424580745347043,-0.20027505941648194,-1.3047082597426556,1.299014945302026
cycle2_rmd17_multimolecule,rMD17,ethanol,0.1,32,random_graph,0.04491406997355322,0.040030913427472115,-0.0048831565460811036,0.013931152420290917,3.8482248066263915,4.656427722507486,0.8082029158810942,3.6844083873290683,4.655127154591243,0.9707187672621749,0.24944940350624867,,,0.4660801299281516,,,-0.0033424580745347043,-0.20027505941648194,-1.3047082597426556,1.299014945302026
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,0.1,16,permuted_graph,0.012961986429420196,0.012396952331376573,-0.0005650340980436225,0.01702737664605525,3.543690108514891,4.306108790453007,0.762418681938116,3.3205065983016686,4.302378037955067,0.9818714396533981,0.20430074593594477,,,0.4882433018335699,,,-0.0006539931396503107,-0.00017975361354238828,0.00019074862037804508,-0.00023314705896249066
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,0.1,32,permuted_graph,0.03456771781202406,0.030809579029058422,-0.0037581387829656344,0.01702737664605525,3.543690108514891,4.306108790453007,0.762418681938116,3.3205065983016686,4.302378037955067,0.9818714396533981,0.20430074593594477,,,0.4882433018335699,,,-0.0006539931396503107,-0.00017975361354238828,0.00019074862037804508,-0.00023314705896249066
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,0.1,16,random_graph,0.012961986429420196,0.012414284205685059,-0.0005477022237351369,0.01702737664605525,3.543690108514891,4.313263262081524,0.7695731535666326,3.3205065983016686,4.3123727443129924,0.9918661460113238,0.23261811280474892,,,0.5042984741129022,,,-0.0006539931396574161,-0.21759663964170173,-1.3363188014036433,1.2859894564482253
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,0.1,32,random_graph,0.03456771781202406,0.030484752031043172,-0.004082965780980885,0.01702737664605525,3.543690108514891,4.313263262081524,0.7695731535666326,3.3205065983016686,4.3123727443129924,0.9918661460113238,0.23261811280474892,,,0.5042984741129022,,,-0.0006539931396574161,-0.21759663964170173,-1.3363188014036433,1.2859894564482253
