prior,expected_seed_count,H32_rollout_mean,H32_rollout_std,H32_rollout_ci95_half_width,H32_rollout_ci95_low,H32_rollout_ci95_high,H32_rollout_min,H32_rollout_max,H32_rollout_n,D_true_Delta_H_norm_mean,D_true_Delta_H_norm_std,D_true_Delta_H_norm_ci95_half_width,D_true_Delta_H_norm_ci95_low,D_true_Delta_H_norm_ci95_high,D_true_Delta_H_norm_min,D_true_Delta_H_norm_max,D_true_Delta_H_norm_n,R_low_true_Delta_H_4_mean,R_low_true_Delta_H_4_std,R_low_true_Delta_H_4_ci95_half_width,R_low_true_Delta_H_4_ci95_low,R_low_true_Delta_H_4_ci95_high,R_low_true_Delta_H_4_min,R_low_true_Delta_H_4_max,R_low_true_Delta_H_4_n,warning_flag
graph,5,0.01690661491981397,0.005387487984763991,0.006688377453724455,0.010218237466089512,0.023594992373538425,0.007864256428244213,0.022319148837899167,5,2.8105951309204102,0.04133095066444902,0.05131092623257303,2.7592842046878374,2.861906057152983,2.745711088180542,2.853503942489624,5,0.1866114428266883,0.01183451576289311,0.014692136414620407,0.17191930641206787,0.2013035792413087,0.1781792091205716,0.20539881909886995,5,ok
permuted_graph,5,0.019774988782592116,0.005893602518176518,0.007316700903141282,0.012458287879450834,0.0270916896857334,0.010701121335538724,0.026472534518688917,5,3.5108274936676027,0.11199708505833213,0.13904045460619688,3.371787039061406,3.6498679482737995,3.3327131271362305,3.609609842300415,5,0.1215993403767546,0.008681523275012005,0.010777806781339496,0.1108215335954151,0.1323771471580941,0.10962841815004747,0.13369829300791025,5,ok
random_graph,5,0.019865807557168106,0.006176696154933285,0.007668151728225539,0.012197655828942567,0.027533959285393643,0.010783699302313229,0.027495451737195253,5,3.523809623718262,0.08969727608604092,0.11135602357369431,3.4124536001445676,3.6351656472919562,3.3799736499786377,3.609609842300415,5,0.1207165440544486,0.008019642570577818,0.009956105091588662,0.11076043896285993,0.13067264914603727,0.1129011328642567,0.13272600869337717,5,ok
