source,domain,item,molecule,topology,encoder,prior,prior_weight,horizon,mean_rollout_error,std_rollout_error,n,baseline,baseline_mean_rollout_error,pct_gain_vs_baseline,notes
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,variance,0.100000,2,0.077891,0.015795,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,variance,0.100000,4,0.085770,0.012841,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,variance,0.100000,8,0.104577,0.019212,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,variance,0.100000,16,0.159522,0.050658,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,variance,0.100000,32,0.333592,0.169805,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,covariance,0.100000,1,0.033872,0.010215,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,covariance,0.100000,2,0.035784,0.012096,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,covariance,0.100000,4,0.040038,0.012639,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,covariance,0.100000,8,0.053430,0.016504,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,covariance,0.100000,16,0.101608,0.035080,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,covariance,0.100000,32,0.259474,0.109245,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,none,0.100000,1,0.024459,0.006607,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,none,0.100000,2,0.025737,0.007153,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,none,0.100000,4,0.028894,0.007066,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,none,0.100000,8,0.041354,0.010511,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,none,0.100000,16,0.079849,0.016752,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,none,0.100000,32,0.228330,0.099250,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,sigreg,0.100000,1,0.085438,0.012386,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,sigreg,0.100000,2,0.084629,0.011813,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,sigreg,0.100000,4,0.087754,0.011200,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,sigreg,0.100000,8,0.101010,0.016978,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,sigreg,0.100000,16,0.153898,0.052503,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,mlp_global,sigreg,0.100000,32,0.378753,0.216311,5,,,,
