stage,dataset,graph_type,normalization,n_graphs,n_frames,D_dX_norm,trace,frobenius_norm,lambda_max,spectral_gap,R_low_dX_2,R_low_dX_4,R_low_dX_8,gap_D_dX_norm_control_minus_true,gap_R_low_dX_2_true_minus_control,gap_R_low_dX_4_true_minus_control,gap_R_low_dX_8_true_minus_control,schema_version,run_name,status,topology,encoder,prior,prior_weight,seed,config_hash,git_commit,config,diagnostics,H16,H32,final_train_loss,prior_loss_mean,wall_time_sec,created_at,classification,graph_gain_h32_pct,true_vs_permuted_gain_h32_pct,none_h32,graph_h32,permuted_h32,none_h16,graph_h16,permuted_h16,metadata_dataset,metadata_domain,metadata_source,metadata_graph_source,metadata_top_k,metadata_correlation_mode,metadata_max_timesteps,metadata_topology,metadata_n_nodes,metadata_n_edges,metadata_n_frames,metadata_n_dim,metadata_csv_path,metadata_adj_path
stage0_raw,metr_la,true_graph,lambda_max,1,64,0.23796703807977285,63.28724415601044,5.036897646901334,1.000000000000001,0.002916898295352112,0.012600889940072241,0.02919766054064414,0.05568654174109235,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,metr_la,permuted_graph,lambda_max,8,64,0.3044267835986165,63.28724415601044,5.036897646901334,1.000000000000001,0.002916898295352112,0.004821645456652815,0.014414749200597118,0.03326422357756745,0.06645974551884368,0.007779244483419426,0.014782911340047023,0.022422318163524906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,metr_la,random_graph,lambda_max,8,64,0.47369017843119215,97.62306864858579,7.343539158966696,1.0,0.11773207847535831,0.0040824852938889265,0.014383527500258791,0.03496957864541999,0.2357231403514193,0.008518404646183315,0.01481413304038535,0.020716963095672364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,metr_la,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_metr_la_gnn_none_lambda0p1_seed0,ok,metr_la,gnn_node,none,0.1,0,391b34c77b38ce4d4010dc90f5cf1b435cdd124572d2f9cd2f47a43584386af8,7271928e8a4a52820332f57abdcb9c60a45f760b,"{'run_name': 'preflight_metr_la_gnn_none_lambda0p1_seed0', 'topology': 'metr_la', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 0, 'num_epochs': 5, 'n_transitions': 160, 'eval_n_transitions': 64, 'stride': 10, 'eval_stride': 20, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.027945909036311, 'covariance_condition_number': 206801486.26057243, 'projection_gaussianity_statistic': 1.6335016973781467, 'rollout_errors': {'16': 0.1420068849110976, '32': 0.4068296826444566}, 'final_train_loss': 0.00012941161257913337, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0011779237355221993, 'final_transition_loss': 0.00012941161257913337}",0.1420068849110976,0.4068296826444566,0.00012941161257913337,0.0,5.861175775527954,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,metr_la,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_metr_la_gnn_graph_lambda0p1_seed0,ok,metr_la,gnn_node,graph,0.1,0,94d419d4777d66bffc9dae80c4e9e5e78d2e0470fcbe5b8b8bd6e21b6b9fbcb1,7271928e8a4a52820332f57abdcb9c60a45f760b,"{'run_name': 'preflight_metr_la_gnn_graph_lambda0p1_seed0', 'topology': 'metr_la', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 0, 'num_epochs': 5, 'n_transitions': 160, 'eval_n_transitions': 64, 'stride': 10, 'eval_stride': 20, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 2.0816378212999744, 'covariance_condition_number': 78715.47756495871, 'projection_gaussianity_statistic': 6.4797199479307475, 'rollout_errors': {'16': 0.14367799717001617, '32': 0.4461303288117051}, 'final_train_loss': 0.006007024459540844, 'prior_loss_mean': 0.3397613324224949, 'transition_loss_mean': 0.001082119525235612, 'final_transition_loss': 0.000129119330085814}",0.14367799717001617,0.4461303288117051,0.006007024459540844,0.3397613324224949,376.58636689186096,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,metr_la,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_metr_la_gnn_permuted_graph_lambda0p1_seed0,ok,metr_la,gnn_node,permuted_graph,0.1,0,c062d23d558ceded7e646b8cb8ab92234965366bb25f160bdd392bf80125aadc,7271928e8a4a52820332f57abdcb9c60a45f760b,"{'run_name': 'preflight_metr_la_gnn_permuted_graph_lambda0p1_seed0', 'topology': 'metr_la', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 0, 'num_epochs': 5, 'n_transitions': 160, 'eval_n_transitions': 64, 'stride': 10, 'eval_stride': 20, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 2.738576656087588, 'covariance_condition_number': 31039.469916120193, 'projection_gaussianity_statistic': 8.472147766449968, 'rollout_errors': {'16': 0.150935081532225, '32': 0.43366947397589684}, 'final_train_loss': 0.023269179090857506, 'prior_loss_mean': 1.8474183702468872, 'transition_loss_mean': 0.0010961912709171885, 'final_transition_loss': 0.0001330753293586895}",0.150935081532225,0.43366947397589684,0.023269179090857506,1.8474183702468872,360.0021231174469,,,,,,,,,,,,,,,,,,,,,,,,
classification,metr_la,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,,,,,,,,,,,,,,,,,2026-05-01T01:04:36.254200+00:00,no_graph_gain,-9.660220933681174,-2.8733529989018427,0.4068296826444566,0.4461303288117051,0.43366947397589684,0.1420068849110976,0.14367799717001617,0.150935081532225,metr_la,traffic,local_csv_pkl,correlation_topk,8,positive,2000,traffic,207,1199,2000,1,/home/user/projects/causalworld/data/metr_la/metr-la.csv,
