stage,dataset,graph_type,normalization,n_graphs,n_frames,D_dX_norm,trace,frobenius_norm,lambda_max,spectral_gap,R_low_dX_2,R_low_dX_4,R_low_dX_8,gap_D_dX_norm_control_minus_true,gap_R_low_dX_2_true_minus_control,gap_R_low_dX_4_true_minus_control,gap_R_low_dX_8_true_minus_control,schema_version,run_name,status,topology,encoder,prior,prior_weight,seed,config_hash,git_commit,config,diagnostics,H16,H32,final_train_loss,prior_loss_mean,wall_time_sec,created_at,classification,graph_gain_h32_pct,true_vs_permuted_gain_h32_pct,none_h32,graph_h32,permuted_h32,none_h16,graph_h16,permuted_h16,metadata_dataset,metadata_domain,metadata_topology,metadata_n_nodes,metadata_n_edges,metadata_n_frames,metadata_n_dim,metadata_low_k,metadata_noise,metadata_coefficient_decay,metadata_seed
stage0_raw,graph_lowfreq_lattice,true_graph,lambda_max,1,64,0.07892230527080078,16.076951545867367,3.1017361498170306,1.0000000000000004,0.03589838486224536,0.2527543099912605,0.7100866420080212,0.9999999999999634,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,graph_lowfreq_lattice,permuted_graph,lambda_max,8,64,0.4599543850178645,16.076951545867367,3.1017361498170306,1.0000000000000004,0.03589838486224536,0.0260333232686055,0.07836287743529022,0.2099446059092835,0.3810320797470637,0.22672098672265498,0.6317237645727309,0.7900553940906798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,graph_lowfreq_lattice,random_graph,lambda_max,8,64,0.3762782976227973,13.339782681104516,2.7726832972036632,1.0,0.005311239866953886,0.033493467149541115,0.07558001620765284,0.19511119916848174,0.2973559923519965,0.21926084284171937,0.6345066258003683,0.8048888008314816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_lowfreq_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_lowfreq_lattice_gnn_none_lambda0p1_seed0,ok,lattice,gnn_node,none,0.1,0,11631283831b030bca574455d952316e87f5f96df05e9f4cc4f664fa0a779130,b013990b8c51de0a14c261953725d0dc3925a56e,"{'run_name': 'preflight_graph_lowfreq_lattice_gnn_none_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.0122683069761869, 'covariance_condition_number': 6135213.698893591, 'projection_gaussianity_statistic': 81.49491504810779, 'rollout_errors': {'16': 0.23330730525776744, '32': 0.7209530472755432}, 'final_train_loss': 0.00022903724069086215, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0018166771449614316, 'final_transition_loss': 0.00022903724069086215}",0.23330730525776744,0.7209530472755432,0.00022903724069086215,0.0,0.6889781951904297,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_lowfreq_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_lowfreq_lattice_gnn_graph_lambda0p1_seed0,ok,lattice,gnn_node,graph,0.1,0,fdb4f1595c35f35d7abb40d930177d2bf916d0aa8d51cf122ac9d31443f8c51b,b013990b8c51de0a14c261953725d0dc3925a56e,"{'run_name': 'preflight_graph_lowfreq_lattice_gnn_graph_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.0544237764435118, 'covariance_condition_number': 960093.9920188787, 'projection_gaussianity_statistic': 53.3075240875643, 'rollout_errors': {'16': 0.22529589710757136, '32': 0.6919282171875238}, 'final_train_loss': 0.0004825762395436565, 'prior_loss_mean': 0.00227132156821123, 'transition_loss_mean': 0.0018158554914407433, 'final_transition_loss': 0.00021591327580002448}",0.22529589710757136,0.6919282171875238,0.0004825762395436565,0.00227132156821123,1.0105881690979004,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_lowfreq_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_lowfreq_lattice_gnn_permuted_graph_lambda0p1_seed0,ok,lattice,gnn_node,permuted_graph,0.1,0,25fdd7d48b8aead9e8739f99fd417092cb49823e836c031dc6c60f84b4d5bd4f,b013990b8c51de0a14c261953725d0dc3925a56e,"{'run_name': 'preflight_graph_lowfreq_lattice_gnn_permuted_graph_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.1207124312950967, 'covariance_condition_number': 190422.74466684498, 'projection_gaussianity_statistic': 28.875263778531313, 'rollout_errors': {'16': 0.21419225353747606, '32': 0.6702569872140884}, 'final_train_loss': 0.0005832939253499111, 'prior_loss_mean': 0.005618816753849387, 'transition_loss_mean': 0.0018103477079421282, 'final_transition_loss': 0.00021122077790399393}",0.21419225353747606,0.6702569872140884,0.0005832939253499111,0.005618816753849387,1.064615249633789,,,,,,,,,,,,,,,,,,,,,
classification,graph_lowfreq_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,,,lattice,,,,,,,,,,,,,,2026-04-30T23:30:44.184509+00:00,generic_smoothing,4.0258974142218005,-3.233271772892886,0.7209530472755432,0.6919282171875238,0.6702569872140884,0.23330730525776744,0.22529589710757136,0.21419225353747606,graph_lowfreq_lattice,graph_lowfreq,lattice,36,60,512,4,4,0.01,0.95,0
